"","id","latitude","longitude"
"75",4282324768,34.844325,-82.404531
"82",5259194491,29.962798,-90.045404
"83",5259788006,29.962798,-90.045404
"84",5194397416,40.779355,-73.963243
"85",5193796973,40.779355,-73.963243
"86",5193795961,40.779355,-73.963243
"87",5193793963,40.779355,-73.963243
"88",5194392068,40.779355,-73.963243
"89",5194390964,40.779355,-73.963243
"90",5193790717,40.779355,-73.963243
"91",5193789573,40.779355,-73.963243
"92",5194230878,40.779355,-73.963243
"93",5099024876,10.00672,76.710319
"97",4402042959,35.05424,-89.267177
"105",4326754978,32.336822,-86.326317
"108",4548034499,32.075565,-81.089959
"113",4468050275,33.456785,-86.118135
"129",4412173593,35.7773,-78.648662
"136",4857069001,34.1855,-85.153667
"137",4574715053,31.008364,-83.514332
"138",4574711177,31.008364,-83.514332
"139",4572757797,34.150667,-83.813495
"152",4545919500,35.141177,-90.041348
"153",4545282121,35.141177,-90.041348
"154",4545278661,35.141177,-90.041348
"155",4545909512,35.141177,-90.041348
"156",4545906444,35.141177,-90.041348
"157",4545902818,35.141177,-90.041348
"158",4545265547,35.141177,-90.041348
"228",4654641305,35.858413,-82.03989
"229",4655256688,35.858413,-82.03989
"233",4812407526,33.782095,-84.337386
"234",4811781379,33.782095,-84.337386
"235",4812465948,33.782095,-84.337386
"236",4811762443,33.782095,-84.337386
"237",4811760799,33.782095,-84.337386
"238",4811840207,33.772506,-84.339416
"239",4811839805,33.772506,-84.339416
"240",4640523925,10.516843,-66.850433
"241",4632035273,40.76301,-73.827888
"242",4632631040,40.762981,-73.827867
"250",4610173949,34.767157,-82.766296
"251",4610169281,34.767105,-82.766296
"259",15411658714,21.656288,-158.059689
"260",16008144016,21.656288,-158.059689
"263",6351152343,35.141406,-90.04064
"264",6144519230,35.139739,-90.04004
"265",6143938499,35.139774,-90.039997
"271",4768053698,35.653294,-82.351525
"272",4767414009,35.653294,-82.351525
"277",4740499323,34.084942,-84.530745
"278",4740123932,33.697569,-84.334943
"279",4739488475,33.697315,-84.334981
"280",4739486965,33.697547,-84.334852
"281",4740120996,33.697529,-84.335153
"282",4740120392,33.69744,-84.334809
"283",4740119242,33.697547,-84.334938
"284",4740118856,33.697422,-84.335067
"285",4740118300,33.697529,-84.334809
"286",4740116886,33.697476,-84.334938
"287",4739356141,33.867725,-84.249118
"298",4720495025,34.468778,-83.960266
"302",4709029231,37.544237,-77.451338
"307",4680876969,42.055928,-87.683429
"316",4881014370,33.518731,-84.79145
"328",4829365642,31.198793,-89.456777
"333",4825385335,34.801085,-87.676552
"336",4808173763,34.882903,-82.490437
"340",4795506428,35.430505,-83.445989
"347",4781724382,34.21331,-83.457577
"351",4759671923,36.581528,138.14818
"352",4758439567,34.685134,-82.96154
"353",4759078458,34.685345,-82.961969
"354",27363021052,35.136054,-90.085659
"360",5069973646,36.067972,-79.793014
"361",5062202793,45.672727,-111.031512
"362",5062812588,45.672727,-111.031512
"365",4975479804,37.801239,-78.752992
"375",4920425817,35.837089,-78.663422
"378",4899878339,33.767633,-84.406473
"379",4896374098,36.571079,-84.039316
"380",4896373506,36.416136,-84.09605
"381",4895776439,35.8645,-83.746719
"382",4896370764,35.866099,-83.660373
"385",4893188432,33.773314,-84.423934
"388",4880343245,38.239039,-85.691642
"397",4872950353,33.541394,-112.159423
"412",4870431522,35.106094,-85.347847
"426",4856205319,35.141177,-89.938824
"446",5112143300,36.76261,-83.694019
"447",5111409891,36.76261,-83.694019
"448",5111988296,36.76261,-83.694019
"453",5037957829,35.523442,-85.022238
"455",5036584529,38.839674,-77.143421
"458",5035148484,38.707021,-91.438575
"463",5021291051,36.142164,-80.298578
"472",4999251299,30.642638,-87.904357
"475",4996896198,36.662222,-82.537021
"476",4996895612,36.662222,-82.537021
"477",4996287947,36.662222,-82.537021
"478",4996287483,36.662222,-82.537021
"479",4996894380,36.662222,-82.537021
"480",4996286603,36.662222,-82.537021
"481",4996893726,36.662222,-82.537021
"482",4996285697,36.662222,-82.537021
"483",4994681593,36.660398,-82.53479
"484",4995288472,36.660398,-82.53479
"485",4994680949,36.660398,-82.53479
"486",4995287994,36.660398,-82.53479
"487",4994680637,36.660398,-82.53479
"488",4994680527,36.660398,-82.53479
"489",4995287570,36.660398,-82.53479
"519",5211974148,35.390921,-83.519439
"524",5135018604,31.932194,-91.131678
"527",5128865914,34.136424,-80.870318
"530",5108554698,28.358866,-81.588506
"531",5102704135,39.83752,-74.963257
"534",5092891703,33.764547,-84.349325
"535",5092891635,33.764547,-84.349325
"536",5093490800,33.764547,-84.349325
"537",5092891229,33.764547,-84.349325
"538",5092891087,33.764547,-84.349325
"539",5092891023,33.764547,-84.349325
"540",5093490128,33.764547,-84.349325
"541",5093489916,33.764547,-84.349325
"542",5092890635,33.764547,-84.349325
"543",5092890375,33.764547,-84.349325
"544",5092890155,33.764547,-84.349325
"545",5092890031,33.764547,-84.349325
"546",5092889807,33.764547,-84.349325
"547",5093488900,33.764547,-84.349325
"548",5092889667,33.764547,-84.349325
"549",5092889165,33.764547,-84.349325
"550",5092888997,33.764547,-84.349325
"551",5093488078,33.764547,-84.349325
"552",5092888617,33.764547,-84.349325
"553",5093487780,33.764547,-84.349325
"554",5092888499,33.764547,-84.349325
"555",5092888437,33.764547,-84.349325
"556",5093487346,33.764547,-84.349325
"557",5093487132,33.764547,-84.349325
"558",5092887677,33.764547,-84.349325
"559",5092887553,33.764547,-84.349325
"560",5093486580,33.764547,-84.349325
"561",5092887201,33.764547,-84.349325
"562",5092887133,33.764547,-84.349325
"563",5093486228,33.764547,-84.349325
"564",5093486152,33.764547,-84.349325
"565",5093486076,33.764547,-84.349325
"566",5093486020,33.764547,-84.349325
"567",5093485886,33.764547,-84.349325
"568",5093485538,33.764547,-84.349325
"569",5092886213,33.764547,-84.349325
"570",5092886007,33.764547,-84.349325
"571",5092885969,33.764547,-84.349325
"572",5092885931,33.764547,-84.349325
"573",5093485124,33.764547,-84.349325
"574",5092885649,33.764547,-84.349325
"575",5092885491,33.764547,-84.349325
"576",5092885145,33.764547,-84.349325
"577",5093484334,33.764547,-84.349325
"578",5093484068,33.764547,-84.349325
"579",5092884597,33.764547,-84.349325
"580",5093483688,33.764547,-84.349325
"581",5093483526,33.764547,-84.349325
